Filename	Purity	Entity Count	Total	Proportion
AlcoR (Mode 2)	0	7383	7383	1
AlcoR (Mode 2)	10	7333	7383	0.993227685222809
AlcoR (Mode 2)	20	5022	7383	0.680211296221048
AlcoR (Mode 2)	30	1958	7383	0.265203846674793
AlcoR (Mode 2)	40	916	7383	0.124068806718136
AlcoR (Mode 2)	50	642	7383	0.0869565217391304
AlcoR (Mode 2)	60	554	7383	0.0750372477312746
AlcoR (Mode 2)	70	461	7383	0.0624407422456996
AlcoR (Mode 2)	80	219	7383	0.0296627387240959
AlcoR (Mode 2)	90	35	7383	0.00474062034403359
AlcoR (Mode 1)	0	8729	8729	1
AlcoR (Mode 1)	10	8674	8729	0.993699163707183
AlcoR (Mode 1)	20	6231	8729	0.713827471646237
AlcoR (Mode 1)	30	2441	8729	0.279642570741207
AlcoR (Mode 1)	40	1149	8729	0.131630198189942
AlcoR (Mode 1)	50	780	8729	0.0893573146981327
AlcoR (Mode 1)	60	635	8729	0.0727460190170695
AlcoR (Mode 1)	70	483	8729	0.0553327987169206
AlcoR (Mode 1)	80	207	8729	0.023714056592966
AlcoR (Mode 1)	90	20	8729	0.00229121319738802
Dotplot	0	14156	14156	1
Dotplot	10	14156	14156	1
Dotplot	20	14156	14156	1
Dotplot	30	14095	14156	0.995690873128002
Dotplot	40	11773	14156	0.831661486295564
Dotplot	50	4739	14156	0.334769708957333
Dotplot	60	619	14156	0.0437270415371574
Dotplot	70	61	14156	0.00430912687199774
Dotplot	80	7	14156	0.000494489968917773
Dotplot	90	2	14156	0.000141282848262221
fLPS 2.0 	0	19997	19997	1
fLPS 2.0 	10	19961	19997	0.998199729959494
fLPS 2.0 	20	18339	19997	0.91708756313447
fLPS 2.0 	30	14077	19997	0.703955593339001
fLPS 2.0 	40	7667	19997	0.383407511126669
fLPS 2.0 	50	3491	19997	0.174576186427964
fLPS 2.0 	60	1972	19997	0.0986147922188328
fLPS 2.0 	70	1059	19997	0.0529579436915537
fLPS 2.0 	80	527	19997	0.0263539530929639
fLPS 2.0 	90	295	19997	0.0147522128319248
fLPS 2.0 strict	0	15161	15161	1
fLPS 2.0 strict	10	15032	15161	0.991491326429655
fLPS 2.0 strict	20	14159	15161	0.933909372732669
fLPS 2.0 strict	30	12405	15161	0.818217795659917
fLPS 2.0 strict	40	9499	15161	0.626541784842688
fLPS 2.0 strict	50	7318	15161	0.482685838664996
fLPS 2.0 strict	60	5923	15161	0.390673438427544
fLPS 2.0 strict	70	4603	15161	0.303607941428666
fLPS 2.0 strict	80	3052	15161	0.201305982454983
fLPS 2.0 strict	90	2273	15161	0.149924147483675
fLPS	0	19912	19912	1
fLPS	10	19877	19912	0.998242265970269
fLPS	20	18324	19912	0.920249096022499
fLPS	30	14109	19912	0.708567697870631
fLPS	40	7717	19912	0.387555243069506
fLPS	50	2324	19912	0.116713539574126
fLPS	60	1139	19912	0.0572016874246685
fLPS	70	588	19912	0.0295299316994777
fLPS	80	219	19912	0.0109983929288871
fLPS	90	101	19912	0.00507231820008035
fLPS strict	0	14925	14925	1
fLPS strict	10	14804	14925	0.991892797319933
fLPS strict	20	13936	14925	0.933735343383585
fLPS strict	30	12164	14925	0.81500837520938
fLPS strict	40	9135	14925	0.612060301507538
fLPS strict	50	6822	14925	0.457085427135678
fLPS strict	60	5446	14925	0.364891122278057
fLPS strict	70	4048	14925	0.271222780569514
fLPS strict	80	2568	14925	0.172060301507538
fLPS strict	90	1734	14925	0.116180904522613
LCRFinder	0	9013	9013	1
LCRFinder	10	9013	9013	1
LCRFinder	20	9013	9013	1
LCRFinder	30	9009	9013	0.999556196604904
LCRFinder	40	8878	9013	0.985021635415511
LCRFinder	50	8626	9013	0.957062021524465
