File	human_alcor2_filtered_0.1_sorted.bed	human_alcor2_filtered_0.2_sorted.bed	human_alcor2_filtered_0.3_sorted.bed	human_alcor2_filtered_0.4_sorted.bed	human_alcor2_filtered_0.5_sorted.bed	human_alcor2_filtered_0.6_sorted.bed	human_alcor2_filtered_0.7_sorted.bed	human_alcor2_filtered_0.8_sorted.bed	human_alcor2_filtered_0.9_sorted.bed	human_alcor2_processed_sorted.bed	human_alcor_filtered_0.1_sorted.bed	human_alcor_filtered_0.2_sorted.bed	human_alcor_filtered_0.3_sorted.bed	human_alcor_filtered_0.4_sorted.bed	human_alcor_filtered_0.5_sorted.bed	human_alcor_filtered_0.6_sorted.bed	human_alcor_filtered_0.7_sorted.bed	human_alcor_filtered_0.8_sorted.bed	human_alcor_filtered_0.9_sorted.bed	human_alcor_processed_sorted.bed	human_dotplot_filtered_0.1_sorted.bed	human_dotplot_filtered_0.2_sorted.bed	human_dotplot_filtered_0.3_sorted.bed	human_dotplot_filtered_0.4_sorted.bed	human_dotplot_filtered_0.5_sorted.bed	human_dotplot_filtered_0.6_sorted.bed	human_dotplot_filtered_0.7_sorted.bed	human_dotplot_filtered_0.8_sorted.bed	human_dotplot_filtered_0.9_sorted.bed	human_dotplot_processed_sorted.bed	human_flps2_filtered_0.1_sorted.bed	human_flps2_filtered_0.2_sorted.bed	human_flps2_filtered_0.3_sorted.bed	human_flps2_filtered_0.4_sorted.bed	human_flps2_filtered_0.5_sorted.bed	human_flps2_filtered_0.6_sorted.bed	human_flps2_filtered_0.7_sorted.bed	human_flps2_filtered_0.8_sorted.bed	human_flps2_filtered_0.9_sorted.bed	human_flps2_processed_sorted.bed	human_flps2_strict_filtered_0.1_sorted.bed	human_flps2_strict_filtered_0.2_sorted.bed	human_flps2_strict_filtered_0.3_sorted.bed	human_flps2_strict_filtered_0.4_sorted.bed	human_flps2_strict_filtered_0.5_sorted.bed	human_flps2_strict_filtered_0.6_sorted.bed	human_flps2_strict_filtered_0.7_sorted.bed	human_flps2_strict_filtered_0.8_sorted.bed	human_flps2_strict_filtered_0.9_sorted.bed	human_flps2_strict_processed_sorted.bed	human_flps_filtered_0.1_sorted.bed	human_flps_filtered_0.2_sorted.bed	human_flps_filtered_0.3_sorted.bed	human_flps_filtered_0.4_sorted.bed	human_flps_filtered_0.5_sorted.bed	human_flps_filtered_0.6_sorted.bed	human_flps_filtered_0.7_sorted.bed	human_flps_filtered_0.8_sorted.bed	human_flps_filtered_0.9_sorted.bed	human_flps_processed_sorted.bed	human_flps_strict_filtered_0.1_sorted.bed	human_flps_strict_filtered_0.2_sorted.bed	human_flps_strict_filtered_0.3_sorted.bed	human_flps_strict_filtered_0.4_sorted.bed	human_flps_strict_filtered_0.5_sorted.bed	human_flps_strict_filtered_0.6_sorted.bed	human_flps_strict_filtered_0.7_sorted.bed	human_flps_strict_filtered_0.8_sorted.bed	human_flps_strict_filtered_0.9_sorted.bed	human_flps_strict_processed_sorted.bed	human_lcrfinder_filtered_0.1_sorted.bed	human_lcrfinder_filtered_0.2_sorted.bed	human_lcrfinder_filtered_0.3_sorted.bed	human_lcrfinder_filtered_0.4_sorted.bed	human_lcrfinder_filtered_0.5_sorted.bed	human_lcrfinder_filtered_0.6_sorted.bed	human_lcrfinder_filtered_0.7_sorted.bed	human_lcrfinder_filtered_0.8_sorted.bed	human_lcrfinder_filtered_0.9_sorted.bed	human_lcrfinder_processed_sorted.bed	human_seg_filtered_0.1_sorted.bed	human_seg_filtered_0.2_sorted.bed	human_seg_filtered_0.3_sorted.bed	human_seg_filtered_0.4_sorted.bed	human_seg_filtered_0.5_sorted.bed	human_seg_filtered_0.6_sorted.bed	human_seg_filtered_0.7_sorted.bed	human_seg_filtered_0.8_sorted.bed	human_seg_filtered_0.9_sorted.bed	human_seg_intermediate_filtered_0.1_sorted.bed	human_seg_intermediate_filtered_0.2_sorted.bed	human_seg_intermediate_filtered_0.3_sorted.bed	human_seg_intermediate_filtered_0.4_sorted.bed	human_seg_intermediate_filtered_0.5_sorted.bed	human_seg_intermediate_filtered_0.6_sorted.bed	human_seg_intermediate_filtered_0.7_sorted.bed	human_seg_intermediate_filtered_0.8_sorted.bed	human_seg_intermediate_filtered_0.9_sorted.bed	human_seg_intermediate_processed_sorted.bed	human_seg_processed_sorted.bed	human_seg_strict_filtered_0.1_sorted.bed	human_seg_strict_filtered_0.2_sorted.bed	human_seg_strict_filtered_0.3_sorted.bed	human_seg_strict_filtered_0.4_sorted.bed	human_seg_strict_filtered_0.5_sorted.bed	human_seg_strict_filtered_0.6_sorted.bed	human_seg_strict_filtered_0.7_sorted.bed	human_seg_strict_filtered_0.8_sorted.bed	human_seg_strict_filtered_0.9_sorted.bed	human_seg_strict_processed_sorted.bed	human_treks_filtered_0.1_sorted.bed	human_treks_filtered_0.2_sorted.bed	human_treks_filtered_0.3_sorted.bed	human_treks_filtered_0.4_sorted.bed	human_treks_filtered_0.5_sorted.bed	human_treks_filtered_0.6_sorted.bed	human_treks_filtered_0.7_sorted.bed	human_treks_filtered_0.8_sorted.bed	human_treks_filtered_0.9_sorted.bed	human_treks_processed_sorted.bed	human_xstream_filtered_0.1_sorted.bed	human_xstream_filtered_0.2_sorted.bed	human_xstream_filtered_0.3_sorted.bed	human_xstream_filtered_0.4_sorted.bed	human_xstream_filtered_0.5_sorted.bed	human_xstream_filtered_0.6_sorted.bed	human_xstream_filtered_0.7_sorted.bed	human_xstream_filtered_0.8_sorted.bed	human_xstream_filtered_0.9_sorted.bed	human_xstream_processed_sorted.bed
human_alcor2_filtered_0.1_sorted.bed	1	0.239391	0.0677288	0.0276487	0.0173377	0.0146074	0.00959927	0.00486235	0.000665678	0.946271	0.694371	0.175853	0.0531917	0.0241038	0.015599	0.0132577	0.00827545	0.00425969	0.000591711	0.691108	0.0344061	0.0342804	0.0339745	0.0297588	0.0174268	0.00989574	0.00185152	0.000219716	0	0.0344061	0.0823567	0.0647983	0.0466914	0.0229148	0.0135638	0.0079879	0.00537047	0.00343366	0.00187108	0.0813957	0.0775418	0.05922	0.0457388	0.0267938	0.0180375	0.0137823	0.00836897	0.00601284	0.0036366	0.0772881	0.0820629	0.0642041	0.0464642	0.0234193	0.013034	0.00771707	0.00524794	0.00340666	0.00173902	0.081611	0.0764184	0.0603495	0.0465211	0.0264005	0.0177321	0.0137792	0.0082445	0.00593602	0.00350372	0.077349	0.0311537	0.0311572	0.0307456	0.0278189	0.0233347	0.0192035	0.0123105	0.00855677	0.00575302	0.0311537	0.0517512	0.0517084	0.048212	0.0301128	0.0165983	0.0113949	0.00544706	0.00344205	0.00198433	0.0326849	0.0326787	0.0309844	0.0236123	0.0145465	0.0104587	0.00489416	0.00324381	0.00185832	0.0326849	0.0517512	0.0181741	0.0181741	0.0181741	0.0179745	0.0157519	0.0132976	0.00703747	0.00444164	0.00248858	0.0181741	0.120322	0.0531047	0.0376938	0.0249365	0.0157453	0.0118805	0.0075799	0.00656028	0.00615717	0.122203	0.0837884	0.0205481	0.00879535	0.0016503	0.000576634	0.000576634	0	0	0	0.0853003
human_alcor2_filtered_0.2_sorted.bed	0.239391	1	0.282921	0.115496	0.0724239	0.061019	0.0400987	0.0203113	0.00278071	0.226529	0.184073	0.444117	0.198319	0.0965204	0.063863	0.0548043	0.0344135	0.0177767	0.00247169	0.174883	0.0534505	0.0533291	0.0533798	0.054351	0.0503146	0.039729	0.00770956	0.00091737	0	0.0534505	0.0210785	0.0454226	0.0617861	0.0520417	0.0431073	0.0293175	0.0212025	0.0140259	0.00771775	0.0203443	0.0240911	0.055902	0.0609866	0.0543191	0.0462794	0.0419068	0.0272189	0.0214667	0.0133557	0.0224797	0.0212098	0.0444959	0.0590636	0.0504705	0.0440163	0.0294745	0.0210664	0.014151	0.00725444	0.0205499	0.0248198	0.0578174	0.0627697	0.0543491	0.046133	0.0423504	0.0272708	0.0215314	0.0132811	0.0234748	0.0601914	0.0602081	0.0598651	0.058271	0.0533998	0.0473529	0.0349388	0.026938	0.0176694	0.0601914	0.0545733	0.0546863	0.0594323	0.0541894	0.0477664	0.0400722	0.0202338	0.0135943	0.0080509	0.0774766	0.0774735	0.0776427	0.0677733	0.0502569	0.0405159	0.0200021	0.0134161	0.00772871	0.0774766	0.0545733	0.0647305	0.0647305	0.0647305	0.0641794	0.0574862	0.0503357	0.0283942	0.0181673	0.0101312	0.0647305	0.102402	0.115176	0.10229	0.0818642	0.0580521	0.0471413	0.0308119	0.0268598	0.025226	0.101686	0.0736869	0.0802841	0.0346199	0.00667555	0.00240779	0.00240779	0	0	0	0.0733571
human_alcor2_filtered_0.3_sorted.bed	0.0677288	0.282921	1	0.408227	0.255987	0.215675	0.141731	0.0717915	0.00982859	0.0640897	0.0514761	0.196872	0.476867	0.306511	0.214114	0.187212	0.119844	0.062632	0.00873584	0.0486525	0.0569385	0.0569625	0.0577056	0.0655965	0.0957853	0.126103	0.0269305	0.00323732	0	0.0569385	0.00633592	0.0225876	0.0566202	0.0771879	0.095994	0.0822285	0.0672557	0.0477241	0.0268687	0.00597064	0.00906291	0.0337902	0.0556261	0.0730682	0.0825668	0.0896794	0.0673698	0.0609	0.0409952	0.00798735	0.00638698	0.0220355	0.0535397	0.0710204	0.105304	0.0870504	0.0686969	0.0492049	0.0255253	0.00604277	0.00953477	0.0354041	0.0567466	0.0736563	0.0837762	0.091713	0.0687465	0.062092	0.0416483	0.00854922	0.0733423	0.0733725	0.0743856	0.0776053	0.0797929	0.0783724	0.0694073	0.0641983	0.044062	0.0733423	0.0417754	0.0419128	0.0505787	0.0648131	0.0922022	0.10227	0.0594706	0.0437813	0.0268204	0.113141	0.113153	0.117683	0.12202	0.122061	0.120327	0.0653301	0.0456537	0.0265745	0.113141	0.0417754	0.161294	0.161294	0.161294	0.161359	0.152567	0.145432	0.0918514	0.0622295	0.0351066	0.161294	0.0741246	0.11405	0.152851	0.17099	0.157217	0.145817	0.102094	0.0912032	0.08588	0.0731711	0.0482064	0.0983893	0.0978892	0.0231533	0.00849921	0.00849921	0	0	0	0.0474896
human_alcor2_filtered_0.4_sorted.bed	0.0276487	0.115496	0.408227	1	0.627069	0.528322	0.347187	0.175862	0.0240763	0.0261632	0.0211952	0.0853374	0.303195	0.584786	0.47259	0.429481	0.285077	0.152439	0.021397	0.0200121	0.044033	0.044059	0.0447574	0.0577915	0.118107	0.256237	0.0645897	0.00790468	0	0.044033	0.00263452	0.010717	0.0312132	0.0768774	0.132656	0.136233	0.134367	0.108284	0.0638768	0.00247013	0.00416037	0.0171328	0.0311629	0.0698878	0.0958019	0.119807	0.102359	0.108566	0.0809526	0.00360651	0.00265629	0.010414	0.0295935	0.0698587	0.153787	0.155774	0.146582	0.116249	0.0619608	0.00249654	0.00439791	0.018	0.031553	0.0708547	0.0981577	0.12355	0.106191	0.112507	0.0842519	0.00388662	0.0596057	0.0596329	0.0606874	0.0675655	0.0773878	0.0837895	0.0841581	0.0944015	0.0687047	0.0596057	0.0231734	0.0232619	0.0291293	0.0559992	0.111897	0.158786	0.10975	0.0920897	0.0605244	0.0927931	0.0927957	0.0984251	0.131798	0.181058	0.222801	0.14021	0.104449	0.0626797	0.0927931	0.0231734	0.240638	0.240638	0.240638	0.241678	0.243687	0.258659	0.192505	0.143621	0.083563	0.240638	0.0433599	0.0693702	0.100486	0.180796	0.247433	0.279483	0.221896	0.20765	0.196517	0.0427559	0.017644	0.0495242	0.0690565	0.0524029	0.0207642	0.0207642	0	0	0	0.017328
human_alcor2_filtered_0.5_sorted.bed	0.0173377	0.0724239	0.255987	0.627069	1	0.842525	0.553666	0.28045	0.038395	0.0164061	0.0132098	0.0534322	0.193934	0.447957	0.669564	0.640671	0.441771	0.241539	0.0341183	0.0124722	0.0318588	0.0318778	0.0323714	0.0437309	0.121606	0.348562	0.100882	0.0125651	0	0.0318588	0.00165671	0.00673421	0.0197979	0.0619039	0.141086	0.165063	0.179645	0.15727	0.094686	0.00155243	0.00264083	0.0108803	0.0199981	0.0538408	0.0978619	0.13008	0.116302	0.132608	0.104703	0.00228754	0.00166976	0.00655674	0.0188141	0.0561541	0.166169	0.195163	0.202308	0.174148	0.0934327	0.00156889	0.0027949	0.011434	0.0202294	0.0545176	0.100498	0.134558	0.121656	0.138754	0.110816	0.0024686	0.0469426	0.0469645	0.0478395	0.0541766	0.0676205	0.0818312	0.0859801	0.103498	0.076521	0.0469426	0.0148682	0.0149358	0.0188043	0.0415779	0.116153	0.18572	0.140419	0.127196	0.0891807	0.0664778	0.0664661	0.0706631	0.104454	0.201877	0.284582	0.196697	0.154858	0.0961242	0.0664778	0.0148682	0.235257	0.235257	0.235257	0.237064	0.269861	0.324668	0.268962	0.217779	0.1302	0.235257	0.0282954	0.0454341	0.0663621	0.129666	0.251002	0.362004	0.312311	0.302772	0.287489	0.0278987	0.00457648	0.0143766	0.0232032	0.0355643	0.0330244	0.0330244	0	0	0	0.00449023
human_alcor2_filtered_0.6_sorted.bed	0.0146074	0.061019	0.215675	0.528322	0.842525	1	0.657151	0.332869	0.0455713	0.0138226	0.0112244	0.04545	0.165581	0.386864	0.620043	0.721986	0.51702	0.285766	0.040493	0.0105974	0.0269412	0.0269572	0.0274265	0.03737	0.112199	0.379507	0.118515	0.0148896	0	0.0269412	0.00139626	0.005673	0.0166869	0.053873	0.135849	0.167342	0.193825	0.177232	0.108944	0.00130866	0.00222843	0.00913924	0.0167942	0.0463351	0.0908896	0.129008	0.118751	0.140207	0.113712	0.00193105	0.00140744	0.00552197	0.015849	0.0488045	0.156559	0.201003	0.222009	0.200512	0.108663	0.00132249	0.00235721	0.00960762	0.0169927	0.0468472	0.0932669	0.13335	0.124117	0.146634	0.120819	0.00208264	0.0411258	0.041145	0.041914	0.0475958	0.0607787	0.076812	0.0837251	0.104809	0.0774741	0.0411258	0.0124933	0.0125502	0.0157799	0.0358059	0.10482	0.189025	0.152368	0.14246	0.102404	0.0563667	0.0563495	0.0598552	0.0906086	0.185023	0.297871	0.22155	0.178814	0.112477	0.0563667	0.0124933	0.214793	0.214793	0.214793	0.217324	0.255281	0.33406	0.299493	0.25227	0.152778	0.214793	0.0238267	0.0383239	0.0560483	0.110095	0.223043	0.368836	0.345296	0.341802	0.324907	0.0234922	0.00363553	0.0118558	0.0197153	0.0329656	0.0357531	0.0357531	0	0	0	0.00356586
human_alcor2_filtered_0.7_sorted.bed	0.00959927	0.0400987	0.141731	0.347187	0.553666	0.657151	1	0.506533	0.0693467	0.00908351	0.00736243	0.0298358	0.108992	0.255634	0.417149	0.504459	0.722483	0.429205	0.0616071	0.00695109	0.0177058	0.0177163	0.0180134	0.0243661	0.0746403	0.258728	0.173141	0.0225374	0	0.0177058	0.0009169	0.00366137	0.010408	0.0328524	0.0831168	0.148315	0.216271	0.228607	0.146093	0.000859558	0.00145933	0.00589821	0.0108093	0.0299062	0.0586385	0.0824628	0.116755	0.148893	0.126606	0.0012659	0.000924415	0.00355509	0.00982082	0.0297792	0.0961357	0.180463	0.255932	0.273263	0.151201	0.000868766	0.00154425	0.00620118	0.0109397	0.0302514	0.0603557	0.0852487	0.122733	0.15721	0.136578	0.00136541	0.0277886	0.0278017	0.028323	0.0321635	0.041397	0.0526294	0.0789201	0.105417	0.0826085	0.0277886	0.00808169	0.00811848	0.0102046	0.0230023	0.0680355	0.122468	0.170044	0.177259	0.137117	0.0365147	0.0364868	0.0387973	0.0586639	0.121082	0.195193	0.269696	0.241344	0.159106	0.0365147	0.00808169	0.139738	0.139738	0.139738	0.14115	0.167413	0.224029	0.345502	0.339018	0.220751	0.139738	0.0144677	0.0232853	0.0340888	0.0671631	0.137655	0.232653	0.392458	0.433461	0.416286	0.0142643	0.000124905	0.000437716	0	0	0	0	0	0	0	0.00012244
human_alcor2_filtered_0.8_sorted.bed	0.00486235	0.0203113	0.0717915	0.175862	0.28045	0.332869	0.506533	1	0.136905	0.0046011	0.00380171	0.0154222	0.0565601	0.134227	0.221787	0.272537	0.435526	0.661754	0.121559	0.00358924	0.00896856	0.0089739	0.0091395	0.0125682	0.0393945	0.173343	0.279602	0.0438315	0	0.00896856	0.000465697	0.00188884	0.00531553	0.0174197	0.04588	0.0893747	0.147723	0.209252	0.163995	0.000435931	0.000745803	0.00305043	0.00560776	0.0157401	0.0310622	0.0468617	0.0707513	0.100813	0.090738	0.000644883	0.000469562	0.00181786	0.00506104	0.0158887	0.0531945	0.109405	0.178888	0.275455	0.191428	0.000440799	0.000789371	0.00320406	0.00567176	0.0158922	0.0321074	0.0484266	0.0748974	0.107792	0.099843	0.000696125	0.0146862	0.0146931	0.0149694	0.0170283	0.0220888	0.0284388	0.0434114	0.0646089	0.0528818	0.0146862	0.00414363	0.00416249	0.00523941	0.012057	0.0366765	0.0719532	0.11414	0.151262	0.129273	0.0187242	0.0187353	0.0198951	0.0306273	0.0659668	0.118007	0.199274	0.228361	0.162773	0.0187242	0.00414363	0.0724306	0.0724306	0.0724306	0.0735784	0.0878536	0.122261	0.227343	0.306219	0.214905	0.0724306	0.00774328	0.0124835	0.0183223	0.0363921	0.0759816	0.131848	0.239793	0.298475	0.299843	0.00763406	0.000121502	0.000464846	0	0	0	0	0	0	0	0.000119025
human_alcor2_filtered_0.9_sorted.bed	0.000665678	0.00278071	0.00982859	0.0240763	0.038395	0.0455713	0.0693467	0.136905	1	0.000629912	0.000530961	0.00215516	0.00791998	0.0188679	0.0313119	0.0387018	0.0662113	0.12601	0.379391	0.000501282	0.00122784	0.00122857	0.00123032	0.00172982	0.00560778	0.0280548	0.1289	0.20875	0	0.00122784	0.0000638266	0.000272228	0.000754998	0.00254162	0.00683196	0.0143333	0.0237705	0.0421264	0.0531099	0.0000596943	0.000102528	0.000431779	0.000794039	0.00228252	0.00445072	0.00699338	0.011138	0.0172238	0.0204324	0.0000886984	0.0000643137	0.000259112	0.000717196	0.00228054	0.00790872	0.0175543	0.0298175	0.0618952	0.0817996	0.0000603608	0.000108469	0.000453528	0.000802535	0.00230236	0.00468499	0.00734342	0.0120947	0.0189915	0.0243069	0.0000957252	0.00211195	0.00211295	0.00215274	0.00244933	0.00317887	0.00414768	0.00657542	0.0102765	0.0102364	0.00211195	0.000578454	0.000581088	0.000736972	0.00171299	0.00531166	0.0112455	0.0194274	0.0286149	0.0316632	0.00261701	0.00261857	0.00280009	0.00432379	0.00972857	0.0186916	0.0368585	0.0493362	0.0524798	0.00261701	0.000578454	0.0102486	0.0102486	0.0102486	0.0104118	0.0126026	0.0177942	0.0337783	0.0587799	0.0590774	0.0102486	0.00119388	0.00192943	0.00283724	0.00566852	0.0120134	0.0213921	0.0405234	0.0531488	0.0570489	0.001177	0	0	0	0	0	0	0	0	0	0
human_alcor2_processed_sorted.bed	0.946271	0.226529	0.0640897	0.0261632	0.0164061	0.0138226	0.00908351	0.0046011	0.000629912	1	0.679834	0.167403	0.0504042	0.0228206	0.0147647	0.0125476	0.00783141	0.00403089	0.000559919	0.723751	0.0335634	0.0334314	0.0331309	0.0289101	0.016716	0.0093724	0.00175214	0.000207912	0	0.0335634	0.085481	0.0654145	0.0461039	0.022066	0.0129635	0.0075904	0.00508764	0.00324981	0.00177068	0.0851583	0.0789832	0.0588593	0.0448693	0.0259253	0.0172905	0.0131234	0.00796161	0.00571978	0.00345939	0.0795852	0.085191	0.0650081	0.0460077	0.0226297	0.0123932	0.00731674	0.00497097	0.0032239	0.00164562	0.0854046	0.0775367	0.059947	0.045625	0.0255537	0.0169773	0.0131155	0.00783876	0.00564257	0.00332927	0.0791995	0.0299265	0.0299297	0.0295314	0.0266955	0.0223346	0.0183629	0.0117312	0.00814416	0.00548262	0.0299265	0.0509764	0.0509329	0.0472867	0.0291955	0.015932	0.0108367	0.00515882	0.00325841	0.00187809	0.0313053	0.0312993	0.0296669	0.0225546	0.0138541	0.00991401	0.0046329	0.00307	0.00175861	0.0313053	0.0509764	0.0172362	0.0172362	0.0172362	0.0170462	0.0149322	0.0125975	0.00666237	0.00420356	0.00235501	0.0172362	0.117065	0.0508264	0.0359757	0.0237041	0.0149224	0.0112504	0.00717485	0.00620894	0.00582733	0.119108	0.0805193	0.0195989	0.00832452	0.00156166	0.000545656	0.000545656	0	0	0	0.0822935
