Filename	Purity	Entity_Count	Total	Proportion
AlcoR (Mode 2)	0	34537	34537	1
AlcoR (Mode 2)	10	33821	34537	0.979268610475722
AlcoR (Mode 2)	20	11431	34537	0.330978371022382
AlcoR (Mode 2)	30	3104	34537	0.0898746272113965
AlcoR (Mode 2)	40	1336	34537	0.0386831514028433
AlcoR (Mode 2)	50	859	34537	0.0248718765382054
AlcoR (Mode 2)	60	718	34537	0.020789298433564
AlcoR (Mode 2)	70	580	34537	0.0167935836928511
AlcoR (Mode 2)	80	260	34537	0.00752815820714017
AlcoR (Mode 2)	90	36	34537	0.00104236036714248
AlcoR (Mode 1)	0	42876	42876	1
AlcoR (Mode 1)	10	42033	42876	0.980338650993563
AlcoR (Mode 1)	20	14649	42876	0.341659669745312
AlcoR (Mode 1)	30	3867	42876	0.0901903162608452
AlcoR (Mode 1)	40	1654	42876	0.0385763597350499
AlcoR (Mode 1)	50	1018	42876	0.0237428864632895
AlcoR (Mode 1)	60	811	42876	0.0189150107286127
AlcoR (Mode 1)	70	571	42876	0.0133174736449296
AlcoR (Mode 1)	80	233	42876	0.00543427558540909
AlcoR (Mode 1)	90	20	42876	0.000466461423640265
Dotplot	0	37542	37542	1
Dotplot	10	37542	37542	1
Dotplot	20	37522	37542	0.999467263331735
Dotplot	30	37005	37542	0.985696020457088
Dotplot	40	25237	37542	0.672233764850035
Dotplot	50	6338	37542	0.168824250173139
Dotplot	60	666	37542	0.0177401310532204
Dotplot	70	63	37542	0.00167812050503436
Dotplot	80	7	37542	0.000186457833892707
Dotplot	90	2	37542	5.32736668264877E-05
fLPS 2.0 	0	191187	191187	1
fLPS 2.0 	10	181973	191187	0.95180634666583
fLPS 2.0 	20	75900	191187	0.396993519433853
fLPS 2.0 	30	33214	191187	0.173725200981238
fLPS 2.0 	40	11762	191187	0.0615209193093673
fLPS 2.0 	50	4364	191187	0.0228258197471585
fLPS 2.0 	60	2255	191187	0.0117947349976724
fLPS 2.0 	70	1154	191187	0.00603597524936319
fLPS 2.0 	80	559	191187	0.00292383896394629
fLPS 2.0 	90	306	191187	0.00160052723250012
fLPS 2.0 strict	0	73603	73603	1
fLPS 2.0 strict	10	71956	73603	0.977623194706738
fLPS 2.0 strict	20	56380	73603	0.766001385813078
fLPS 2.0 strict	30	37054	73603	0.503430566688858
fLPS 2.0 strict	40	19647	73603	0.266932054399957
fLPS 2.0 strict	50	12235	73603	0.166229637378911
fLPS 2.0 strict	60	8771	73603	0.119166338328601
fLPS 2.0 strict	70	6222	73603	0.0845345977745472
fLPS 2.0 strict	80	3785	73603	0.0514245343260465
fLPS 2.0 strict	90	2636	73603	0.0358137575914025
fLPS	0	185593	185593	1
fLPS	10	177779	185593	0.957897118964616
fLPS	20	76891	185593	0.414299030674648
fLPS	30	33624	185593	0.181170626047319
fLPS	40	11831	185593	0.0637470163206586
fLPS	50	2879	185593	0.0155124385079179
fLPS	60	1303	185593	0.00702073892873115
fLPS	70	649	185593	0.00349689912873869
fLPS	80	236	185593	0.00127159968317771
fLPS	90	107	185593	0.00057653036483057
fLPS strict	0	67810	67810	1
fLPS strict	10	66529	67810	0.981108980976257
