Category	Tool	TP	FP	FN	TN	TPR	FPR
1	AlcoR 2	1061	29003	2874	167070	0.269631512071156	0.147919397367307
1	AlcoR	1132	30223	2803	165850	0.287674714104193	0.154141569721481
1	Dotplot	3326	12423	632	183763	0.840323395654371	0.0633225612429021
1	fLPS 2.0	3474	118587	461	77486	0.88284625158831	0.604810453249555
1	fLPS 2.0 strict	3036	42574	899	153499	0.7715374841169	0.217133414595584
1	fLPS	3423	109303	512	86770	0.869885641677255	0.557460741662544
1	fLPS strict	3028	38751	907	157322	0.769504447268107	0.197635574505414
1	LCRFinder	1396	2884	2539	193189	0.354764930114358	0.0147088074339659
1	SEG	2902	20654	1033	175419	0.737484116899619	0.105338317871405
1	SEG intermediate	2513	4054	1422	192019	0.638627700127065	0.0206759727244445
1	SEG strict	1051	384	2884	195689	0.267090216010165	0.0019584542491827
1	T-REKS	2013	5225	1922	190848	0.51156289707751	0.0266482381561969
1	Xstream	0	0	3935	196073	0	0
2	AlcoR 2	464	36649	3486	317137	0.11746835443038	0.103590871317689
2	AlcoR	402	41756	3548	312030	0.101772151898734	0.11802615140226
2	Dotplot	3191	17030	762	336880	0.807235011383759	0.0481195784238931
2	fLPS 2.0	3544	240443	406	113343	0.897215189873418	0.679628362908651
2	fLPS 2.0 strict	3042	87098	908	266688	0.770126582278481	0.24618837376267
2	fLPS	3530	235523	420	118263	0.893670886075949	0.66572165094153
2	fLPS strict	3025	83185	925	270601	0.765822784810127	0.235128015240852
2	LCRFinder	1328	4892	2622	348894	0.33620253164557	0.0138275680778776
2	SEG	2819	34432	1131	319354	0.713670886075949	0.0973243712300656
2	SEG intermediate	2395	4774	1555	349012	0.606329113924051	0.0134940331160645
2	SEG strict	1171	360	2779	353426	0.296455696202532	0.00101756429027717
2	T-REKS	1185	10357	2765	343429	0.3	0.0292747593177797
2	Xstream	10	457	3940	353329	0.00253164556962025	0.00129174133515741
3	AlcoR 2	1162	40205	4830	456661	0.19392523364486	0.0809171889402777
3	AlcoR	1342	48905	4650	447961	0.223965287049399	0.098426940060298
3	Dotplot	5204	23223	821	473766	0.863734439834025	0.0467273923567725
3	fLPS 2.0	5696	375492	296	121374	0.950600801068091	0.755720858340076
3	fLPS 2.0 strict	5166	157786	826	339080	0.86214953271028	0.317562481634887
3	fLPS	5625	368337	367	128529	0.938751668891856	0.741320597505162
3	fLPS strict	5144	147196	848	349670	0.858477970627503	0.296248888030173
3	LCRFinder	2629	8128	3363	488738	0.438751668891856	0.0163585352992557
3	SEG	4739	49200	1253	447666	0.79088785046729	0.0990206615063216
3	SEG intermediate	4294	8313	1698	488553	0.716622162883845	0.0167308690874401
3	SEG strict	2376	543	3616	496323	0.39652870493992	0.00109284998369782
3	T-REKS	2452	13316	3540	483550	0.409212283044059	0.0267999822889874
3	Xstream	139	469	5853	496397	0.0231975967957276	0.000943916468424082
4	AlcoR 2	884	80540	4985	555175	0.150621911739649	0.126691992480907
4	AlcoR	1126	97344	4743	538371	0.191855512012268	0.153125221207617
4	Dotplot	4973	23329	913	612468	0.844886170574244	0.0366925292192319
4	fLPS 2.0	5601	525074	268	110641	0.954336343499744	0.825958173080704
4	fLPS 2.0 strict	4984	170431	885	465284	0.849207701482365	0.268093406636622
4	fLPS	5570	522920	299	112795	0.949054353382178	0.822569862281054
4	fLPS strict	4993	179636	876	456079	0.850741182484239	0.282573165648128
4	LCRFinder	2663	8171	3206	627544	0.453739989776793	0.0128532439851191
4	SEG	4635	49524	1234	586191	0.789742715965241	0.0779028338170406
4	SEG intermediate	4252	7008	1617	628707	0.724484579996592	0.0110238078384182
4	SEG strict	2437	589	3432	635126	0.415232577951951	0.000926515812903581
4	T-REKS	2274	10393	3595	625322	0.387459533140228	0.016348520956718
4	Xstream	0	581	5869	635134	0	0.000913931557380273
5	AlcoR 2	1254	72227	6380	686388	0.164265129682997	0.09520903224956
5	AlcoR	1418	82953	6216	675662	0.185747969609641	0.10934795647331
5	Dotplot	6331	30748	1337	728100	0.825639019300991	0.0405193134857046
5	fLPS 2.0	7340	623793	294	134822	0.961488079643699	0.822278757999776
5	fLPS 2.0 strict	6802	270724	832	487891	0.891013885250196	0.356866131041437
5	fLPS	7264	615455	370	143160	0.951532617238669	0.811287675566658
5	fLPS strict	6742	251653	892	506962	0.883154309667278	0.331726897042637
5	LCRFinder	3280	11944	4354	746671	0.429656798532879	0.0157444817199765
5	SEG	5939	64950	1695	693665	0.777966989782552	0.0856165512150432
5	SEG intermediate	5541	9459	2093	749156	0.725831805082526	0.0124687753339968
5	SEG strict	3143	689	4491	757926	0.411710767618549	0.000908234084482906
5	T-REKS	2938	19024	4696	739591	0.384857217710244	0.0250772789886833
5	Xstream	90	1092	7544	757523	0.0117893633743778	0.00143946534144461
6	AlcoR 2	1522	99668	7989	815504	0.160025233939649	0.108906303951607
6	AlcoR	1949	119752	7562	795420	0.204920618231521	0.13085190543417
6	Dotplot	7760	33145	1855	882525	0.807072282891316	0.0361975384144943
6	fLPS 2.0	9213	793361	298	121811	0.968667858269372	0.866898244264466
6	fLPS 2.0 strict	8309	400981	1202	514191	0.873620018925455	0.438148238801012
6	fLPS	9224	778512	287	136660	0.96982441383661	0.850672878977941
6	fLPS strict	8254	375510	1257	539662	0.867837241089265	0.410316312124934
6	LCRFinder	4302	14579	5209	900593	0.452318368205236	0.0159303387778472
6	SEG	7321	71820	2190	843352	0.769740300704447	0.0784770513083879
6	SEG intermediate	6538	10865	2973	904307	0.687414572600147	0.0118720852473633
6	SEG strict	3585	828	5926	914344	0.376931973504363	0.000904747959946327
6	T-REKS	3420	29598	6091	885574	0.359583639995794	0.0323414614957625
6	Xstream	126	4080	9385	911092	0.0132478183156345	0.00445817835335871
7	AlcoR 2	1817	109514	9418	985108	0.161726746773476	0.100047322271981
7	AlcoR	2169	131012	9066	963610	0.19305740987984	0.119686978701323
7	Dotplot	9597	38063	1648	1057340	0.853445975989329	0.0347479420815901
7	fLPS 2.0	11066	980246	169	114376	0.98495772140632	0.895510961774932
7	fLPS 2.0 strict	10591	517789	644	576833	0.942679127725857	0.473029959200528
7	fLPS	11058	971764	177	122858	0.984245660881175	0.887762168127445
7	fLPS strict	10500	483281	735	611341	0.934579439252336	0.441504921333574
7	LCRFinder	5412	18342	5823	1076280	0.481708945260347	0.016756469356545
7	SEG	9319	84623	1916	1009999	0.829461504227859	0.0773079656721681
