x	y	z
0	0	0.01094726910123655
0	2	0.03548118600868801
0	4	0.10894180601190023
0	6	0.2889343987386027
0	8	0.5745553403106389
0	10	0.8173244989210491
0	12	0.9356886623522532
0	14	0.978910110640329
0	16	0.9930570607546343
0	18	0.9975478519871775
0	20	0.9990602589652563
0	22	0.9996042306875944
0	24	0.9998125441514798
0	26	0.9999006125606323
0	28	0.9999400873464555
0	30	0.9999570098406948
0	32	0.9999624685990842
0	34	0.9999591191681315
0	36	0.999941548408517
0	38	0.999888556783888
0	40	0.9997249394417231
0	42	0.9991181141161953
0	44	0.9962456144722
0	46	0.9816986748320269
0	48	0.9358061529416342
0	50	0.8947930144585284
0	52	0.9270975669468746
0	54	0.9767539823116318
0	56	0.9945624842744066
0	58	0.9985014776970687
0	60	0.999455818902461
0	62	0.9997690735811994
0	64	0.9998983413542613
0	66	0.9999566675632588
0	68	0.9999836979386926
0	70	0.9999949124895191
0	72	0.9999985567962029
0	74	0.9999995410768906
0	76	0.9999998087964347
0	78	0.9999998922336787
0	80	0.999999920007463
0	82	0.9999999233364243
0	84	0.9999999045754544
0	86	0.9999998430907048
0	88	0.9999996578267959
0	90	0.9999990199733665
0	92	0.9999963470854724
0	94	0.9999825102046223
0	96	0.9998965934596733
0	98	0.9992904685848312
0	100	0.994770161188505
2	0	0.010343486411639848
2	2	0.030630915019349135
2	4	0.08720335335003171
2	6	0.22410456008133192
2	8	0.4661723312709007
2	10	0.728443627993385
2	12	0.8984805646495067
2	14	0.9654340931065409
2	16	0.9879225957810207
2	18	0.995803887339616
2	20	0.9983802754228546
2	22	0.9993282157613934
2	24	0.9996935141101791
2	26	0.9998407068936916
2	28	0.999904913610658
2	30	0.9999314130758699
2	32	0.9999403204069566
2	34	0.999937721904274
2	36	0.9999170220987229
2	38	0.9998538560736289
2	40	0.9996722254703863
2	42	0.9990832553895687
2	44	0.99679794040398
2	46	0.9877992814160446
2	48	0.9655562676177777
2	50	0.9492527957070029
2	52	0.9638469591559058
2	54	0.9859230330847079
2	56	0.995641738670575
2	58	0.9985036833793833
2	60	0.999383394265894
2	62	0.9997170100325432
2	64	0.9998658635791517
2	66	0.999937640470271
2	68	0.9999736589610475
2	70	0.9999904142505722
2	72	0.9999967999091833
2	74	0.9999988563359214
2	76	0.9999995042082392
2	78	0.9999997271475694
2	80	0.9999998083277187
2	82	0.9999998271416519
2	84	0.9999997964452157
2	86	0.9999996824711624
2	88	0.9999993445607598
2	90	0.999998233880018
2	92	0.9999938847161876
2	94	0.999973387919137
2	96	0.9998606416012031
2	98	0.9991715934681866
2	100	0.9947695444125089
4	0	0.008002596093194973
4	2	0.022848233912067414
4	4	0.0634719248648681
4	6	0.16418746602342926
4	8	0.36280998967146827
4	10	0.6261748739432558
4	12	0.8407810934010487
4	14	0.9418026978807653
4	16	0.9791465909515301
4	18	0.9927363529528909
4	20	0.9972459575963731
4	22	0.998877215117645
4	24	0.9994951190642187
4	26	0.9997416504898227
4	28	0.999847394185063
4	30	0.9998911781326736
4	32	0.9999071403680923
