Filename	Purity	Entity_Count	Total	Proportion
XSTREAM_m1	0	38432	38432	1
XSTREAM_m1	10	38397	38432	0.999089300582848
XSTREAM_m1	20	37518	38432	0.976217735220649
XSTREAM_m1	30	35179	38432	0.915356994171524
XSTREAM_m1	40	29713	38432	0.77313176519567
XSTREAM_m1	50	25648	38432	0.667360532889259
XSTREAM_m1	60	19263	38432	0.501222939217319
XSTREAM_m1	70	16161	38432	0.420508950874271
XSTREAM_m1	80	15285	38432	0.397715445462115
XSTREAM_m1	90	14796	38432	0.384991673605329
XSTREAM_m2	0	23765	23765	1
XSTREAM_m2	10	23730	23765	0.998527245949926
XSTREAM_m2	20	22851	23765	0.961540079949505
XSTREAM_m2	30	20501	23765	0.862655165158847
XSTREAM_m2	40	15012	23765	0.631685251420156
XSTREAM_m2	50	10913	23765	0.45920471281296
XSTREAM_m2	60	4417	23765	0.185861561119293
XSTREAM_m2	70	1204	23765	0.0506627393225331
XSTREAM_m2	80	184	23765	0.00774247843467284
XSTREAM_m2	90	30	23765	0.00126236061434883
XSTREAM_m3	0	17258	17258	1
XSTREAM_m3	10	17223	17258	0.997971955035346
XSTREAM_m3	20	16343	17258	0.946981110209758
XSTREAM_m3	30	13988	17258	0.810522656159462
XSTREAM_m3	40	8481	17258	0.491424267006606
XSTREAM_m3	50	5378	17258	0.31162359485456
XSTREAM_m3	60	4453	17258	0.258025263645845
XSTREAM_m3	70	1221	17258	0.0707497971955035
XSTREAM_m3	80	185	17258	0.010719666241743
XSTREAM_m3	90	30	17258	0.00173832425541778
XSTREAM_m4	0	10986	10986	1
XSTREAM_m4	10	10951	10986	0.996814127070817
XSTREAM_m4	20	10071	10986	0.916712179137084
XSTREAM_m4	30	7715	10986	0.702257418532678
XSTREAM_m4	40	5209	10986	0.474148916803204
XSTREAM_m4	50	2543	10986	0.231476424540324
XSTREAM_m4	60	1787	10986	0.16266156926998
XSTREAM_m4	70	844	10986	0.0768250500637175
XSTREAM_m4	80	191	10986	0.0173857636992536
XSTREAM_m4	90	30	10986	0.00273074822501365
XSTREAM_m5	0	4859	4859	1
XSTREAM_m5	10	4824	4859	0.992796871784318
XSTREAM_m5	20	4018	4859	0.826919119160321
XSTREAM_m5	30	3287	4859	0.676476641284215
XSTREAM_m5	40	2104	4859	0.433010907594155
XSTREAM_m5	50	1222	4859	0.251492076558963
XSTREAM_m5	60	716	4859	0.147355422926528
XSTREAM_m5	70	339	4859	0.0697674418604651
XSTREAM_m5	80	120	4859	0.0246964395966248
XSTREAM_m5	90	25	4859	0.00514509158263017
